995	100
60159	60516	0	3	3	2
60159	66341	0	3	3	2
60746	66343	0	1	3	2
61893	66343	0	1	1	2
64210	66341	0	3	2	2
65224	66342	0	2	2	2
66046	66343	0	1	3	2
66132	66343	0	1	1	2
66497	70924	0	2	2	2
66497	71427	0	2	2	2
71646	72169	0	0	1	1
72274	72583	0	0	0	1
76783	76884	0	0	0	2
77089	77327	0	1	4	2
94676	96402	0	1	0	1
107551	110619	0	4	2	1
159630	169800	0	2	2	2
169833	174554	0	3	1	2
182785	191118	0	0	0	2
191354	195030	0	0	0	2
195017	195061	0	0	0	1
195145	195491	0	1	0	2
195715	195901	0	1	0	2
195951	196657	0	0	0	2
198231	200573	0	3	3	1
198541	198685	0	6	3	2
199029	199170	0	3	3	2
201662	204838	0	0	1	2
229706	230079	0	3	3	2
281537	282132	0	0	0	2
282309	282749	0	1	0	2
282806	287469	0	3	2	2
287751	288018	0	0	0	2
288170	290949	0	1	1	2
288170	291282	0	1	0	2
288170	291323	0	1	1	2
288187	291281	0	2	0	2
305697	306049	0	6	1	1
306711	307117	0	0	0	2
307535	308574	0	1	4	2
308665	308799	0	0	2	2
308919	311837	0	6	1	2
311938	312188	0	1	1	2
312270	313488	0	2	2	2
313643	325633	0	0	0	2
325702	326503	0	2	1	2
326598	327131	0	0	1	2
327256	327862	0	0	2	2
327988	334397	0	1	2	2
327989	330262	0	0	0	2
330379	334397	0	1	1	2
334541	336080	0	1	2	2
334541	344771	0	1	1	2
336171	344770	0	2	1	2
336173	340512	0	0	0	2
362426	367063	0	0	0	2
367220	371199	0	4	1	2
367220	374293	0	4	2	2
371320	372627	0	2	2	2
372699	373467	0	1	0	2
373529	373936	0	2	0	2
373529	374295	0	2	2	2
374009	374295	0	2	2	2
374420	375660	0	1	1	2
397629	398684	0	4	1	1
408400	409003	0	1	2	2
417318	418917	0	4	2	2
419052	422140	0	4	0	2
422377	430680	0	2	1	2
422456	425095	0	0	0	2
425230	430681	0	1	2	2
430745	434705	0	2	3	2
434863	436161	0	2	1	2
435959	436161	0	2	1	2
436290	436377	0	1	1	2
436429	436626	0	2	0	2
436680	438713	0	3	2	2
438835	438966	0	2	1	2
439028	439229	0	2	5	2
439028	440858	0	2	3	2
439490	440859	0	1	2	2
440931	460526	0	1	0	2
464361	467644	0	3	0	2
467761	472391	0	1	0	2
467761	474618	0	1	0	2
472499	474617	0	2	0	2
490039	501667	0	0	0	1
490352	501538	0	1	0	2
496549	497829	0	2	0	1
496551	498494	0	0	0	1
498117	498494	0	0	0	1
498825	501667	0	0	0	1
498825	504743	0	0	0	1
501622	507372	0	2	0	2
501929	504743	0	0	0	1
507841	518884	0	3	0	1
532105	535832	0	3	0	1
535923	536241	0	0	0	1
536276	541357	0	2	6	1
536336	537007	0	4	0	1
537145	538674	0	2	0	1
537145	541335	0	2	0	1
537145	541342	0	2	1	1
537147	541182	0	0	1	1
537147	541341	0	0	0	1
538766	538928	0	2	1	1
541250	541335	0	2	0	1
541423	541809	0	3	0	1
544123	547275	0	3	0	1
544126	547282	0	0	1	1
547434	548538	0	2	0	1
548677	548920	0	0	2	1
549182	549625	0	3	0	1
567623	571437	0	1	0	2
567646	571436	0	2	0	2
