663
ENST00000592209.2	60104	70950	70950	2	4	0	0
ENST00000606546.2	60104	70950	70950	2	3	4	0
ENST00000606728.1	60950	70965	70950	2	3	7	0
ENST00000606872.2	62114	70943	70965	2	2	10	0
ENST00000607444.2	63820	70950	70965	2	3	12	0
ENST00000607633.1	65057	66381	70965	2	2	15	0
ENST00000589741.1	65821	66415	70965	2	2	17	0
ENST00000607872.2	65821	70944	70965	2	3	19	0
ENST00000587045.1	66319	66491	70965	2	1	22	0
ENST00000391654.4	66345	71534	70965	2	2	23	0
ENST00000606592.2	66345	71567	71534	2	2	25	0
ENST00000607556.1	66345	71606	71567	2	2	27	0
ENST00000606554.1	70651	71625	71606	2	1	29	0
ENST00000590978.2	71160	72717	71625	1	3	30	1
ENST00000586110.1	71785	72718	72717	1	2	33	1
ENST00000408051.1	71972	72109	72718	1	1	35	1
ENST00000448235.4	76219	77689	72718	2	3	36	2
ENST00000586011.1	76788	77658	77689	2	2	39	2
ENST00000586820.1	94061	94955	77689	1	1	41	3
ENST00000598977.1	94658	96510	94955	1	2	42	3
ENST00000588632.1	104534	105470	96510	1	1	44	4
ENST00000585993.1	107470	111695	105470	1	2	45	5
ENST00000318050.3	110678	111595	111695	1	1	47	5
ENST00000586141.1	145484	145811	111695	1	1	48	6
ENST00000589943.1	156278	157214	145811	2	1	49	7
ENST00000585721.1	159360	174664	157214	2	3	50	8
ENST00000588418.1	176906	177912	174664	1	1	53	9
ENST00000587432.2	182672	196755	177912	2	6	54	10
ENST00000592994.2	193235	196049	196755	1	2	60	11
ENST00000607682.1	197074	199430	196755	2	3	62	12
ENST00000605890.1	197306	197717	199430	2	1	65	12
ENST00000587271.1	197954	198332	199430	1	1	66	13
ENST00000590372.1	198051	200774	199430	1	2	67	13
ENST00000587051.2	200459	205073	200774	2	2	69	14
ENST00000410397.1	223157	223260	205073	2	1	71	15
ENST00000587910.1	229639	230164	223260	2	2	72	16
ENST00000588755.1	239144	239246	230164	2	1	74	17
ENST00000607399.1	259259	259345	239246	2	1	75	18
ENST00000589981.1	279494	280169	259345	1	1	76	19
ENST00000269812.3	281039	291385	280169	2	6	77	20
ENST00000434325.2	281344	291392	291385	2	6	83	20
ENST00000327790.3	281387	291169	291392	2	6	89	20
ENST00000586998.1	281990	287635	291392	2	3	95	20
ENST00000589672.1	287160	288529	291392	2	2	98	20
ENST00000591572.1	287473	291381	291392	2	3	100	20
ENST00000591533.1	305572	306466	291392	1	2	103	21
ENST00000264819.4	305574	344792	306466	2	14	105	22
ENST00000586994.3	326651	344777	344792	2	5	119	22
ENST00000592722.1	327863	340598	344792	2	5	124	22
ENST00000587966.1	334114	344797	344792	2	2	129	22
ENST00000530711.2	361749	374619	344797	2	3	131	23
ENST00000342640.4	362056	376012	374619	2	8	134	23
ENST00000346878.2	362199	375969	376012	2	7	142	23
ENST00000528213.1	367201	374248	376012	2	5	149	23
ENST00000591757.1	397588	398940	376012	1	2	154	24
ENST00000332235.6	405437	409138	398940	2	2	156	25
ENST00000587423.1	416582	419878	409138	2	2	158	26
ENST00000588376.1	416582	422827	419878	2	3	160	26
ENST00000264554.6	416582	460995	422827	2	13	163	26
